letter;frequency
à;0.12229109843788744
î;0.08395735184726011
ê;0.0690800892635755
ð;0.06456731961319118
è;0.05995536821224895
ò;0.05360773617654352
å;0.05241755516984875
ë;0.04840069427225391
í;0.04785519464418547
ñ;0.04487974212744855
ó;0.03590379370195884
ì;0.03213488718075874
ï;0.03144061492685346
ä;0.027126208777584926
á;0.02663030002479544
â;0.026332754773121747
ã;0.019687577485742624
ç;0.01909248698239524
ø;0.015026035209521449
ÿ;0.014331762955616167
ü;0.013240763699479297
õ;0.012645673196131912
÷;0.012248946193900323
ô;0.011505083064716093
û;0.00976940242995289
ö;0.009323084552442351
é;0.009323084552442351
æ;0.009223902801884454
¸;0.006893131663773866
þ;0.005454996280684354
ý;0.0033225886436895613
ù;0.0020828167617158444
ú;0.0002479543763947434
